"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.576923076923077,0.980769230769231,0.518614239462244,0.267502843757345,52,52
"catch",0.436305732484076,0.982484076433121,0.505022474968322,0.290360289443505,628,628
