"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48760,29052,80537,0.686
"Trap",11583,10248,13175,0.163
"Ring Net",8447,6800,11738,0.119
"Snare",2000,1569,2562,0.028
"Other",287,0,1312,0.004
