"hour_bin","contacts","crabbing","combo","crabbing_share","combo_share_of_crabbing"
"08-10",28,15,4,0.535714285714286,0.266666666666667
"10-12",90,38,11,0.422222222222222,0.289473684210526
"12-14",101,43,16,0.425742574257426,0.372093023255814
"14-16",79,46,12,0.582278481012658,0.260869565217391
"16-18",2,1,0,0.5,0
