"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1760,1192,3143,1256,942,1746
"2024-10",3092,2404,4386,2189,1772,2747
"2024-11",2809,2092,4818,2113,1619,2879
"2024-12",7083,6326,8202,2316,1871,2899
"2025-01",5235,4729,6008,2341,1875,2969
"2025-02",1325,1084,1704,1508,1198,1922
"2025-03",1344,998,1964,1785,1494,2133
"2025-04",2753,2043,3886,3101,2538,3813
"2025-05",5536,3357,9784,3445,2684,4456
"2025-06",5341,3285,9364,4025,2987,5484
"2025-07",12428,6504,24907,7665,5305,11120
"2025-08",16350,8519,31027,8099,5677,11726
"2025-09",4512,2495,9318,2947,2014,4419
