"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1336.62505878665,15.2350112814781,29.3324245354172,1,-1307.29
"catch",1651,-3153.35565755654,46.4720464624568,28.0143938884924,0,-3125.34
