"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","2.02x (1.45-2.86)","1.81x (0.71-5.54)","0.85x (0.73-0.98)",-0.168,-0.315,-0.021
"shore_all_gear_Dungeness_Kept","2.72x (2.40-3.09)","2.92x (2.10-4.14)","0.70x (0.61-0.80)",-0.359,-0.501,-0.22
"private_boat_ring_net_only_Dungeness_Kept","2.64x (1.60-4.42)","2.69x (0.35-18.67)","1.08x (0.35-3.69)",0.073,-1.038,1.306
"private_boat_all_gear_Dungeness_Kept","1.63x (1.29-2.07)","2.63x (1.58-4.55)","0.90x (0.63-1.30)",-0.104,-0.455,0.263
