"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4719.90833333333,5896.105542059
"Shore (All gear)",24219.926984127,20407.5990436185
"Private Boat (Pot closure)",561.966544573643,1207.63993877353
"Private Boat (All gear)",12361.8684236813,31929.9875107797
"Commercial/Charter",187,7884.20496453901
"PORT TOTAL",42050.6702857153,67325.5369997697
