"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,1500,3,0.982064520123792,7.996,8,254.682,0.0174259782044484,1.06838761105842,FALSE
2,1500,4,0.977124175196098,7.99466666666667,8,254.606,0.0191805786507957,0.980416384481906,FALSE
3,1500,7,0.976422897488409,7.97733333333333,8,253.892,0.0198813822385832,0.979898110729131,FALSE
4,1500,6,0.963599743212816,6.994,7,126.866666666667,0.0262975882717441,0.905744785177086,FALSE
