"event_date","day_type","ie_crabber_hours","ie_trips","max_present","mean_present","L_effective","turnover","hours_per_trip","mean_gear","n_counts","gear_est_crabber_hrs","f_temporal","pct_error"
2024-10-21,"Weekday",88.5,30,25,7.86666666666667,3.54,1.2,2.95,29,1,262.44292011503,0.337216183851368,196.545672446362
2024-11-09,"Weekend",158.25,47,31,17.1081081081081,5.10483870967742,1.51612903225806,3.36702127659574,22,1,183.66278296941,0.861633464556383,16.0586306283792
2024-12-06,"Weekend",123.25,27,20,13.3243243243243,6.1625,1.35,4.56481481481481,25,1,191.793945640556,0.642616739482407,55.6137489984226
2025-01-22,"Weekday",23.5,10,6,2.61111111111111,3.91666666666667,1.66666666666667,2.35,8,1,64.3755653280399,0.365045337936072,173.938575864
2025-02-28,"Weekend",240,73,48,25.2631578947368,5,1.52083333333333,3.28767123287671,16,1,150.418066066066,1.5955530228303,-37.3258058058058
2025-08-26,"Weekday",331,83,47,21.7049180327869,7.04255319148936,1.76595744680851,3.98795180722892,31.8,5,364.889507879065,0.907123917933268,10.2385220178446
