"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",42051,43213,35829,53073
"Dungeness_Kept","Expected_Catch",67326,71179,50627,104722
"Dungeness_Kept","Predictive_Catch",NA,71169,50565,104620
