"component","empty_days_here","empty_days_driver","pe_catch_here","pe_catch_driver","days_match","pe_match"
"private_boat_all_gear",47,47,11176,11176,TRUE,TRUE
"private_boat_ring_net_only",9,9,400,400,TRUE,TRUE
"shore_all_gear",44,44,15755,15755,TRUE,TRUE
"shore_ring_net_only",0,0,5959,5959,TRUE,TRUE
