"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3403,3097,3918,6176,5722,6975
"2024-10",6069,5561,6754,10984,10240,12026
"2024-11",3403,2834,4175,5615,4805,6633
"2024-12",10212,9341,11548,6492,5422,7989
"2025-01",7385,6823,8360,5699,4678,7197
"2025-02",1778,1456,2288,3539,2801,4669
"2025-03",2142,1532,3355,5285,4256,6738
"2025-04",4870,3409,7791,10140,8124,13173
"2025-05",6010,4059,10013,11502,9034,15714
"2025-06",6609,3627,14982,13019,8843,22368
"2025-07",19794,10083,42420,35789,24691,60843
"2025-08",17789,9577,32866,33941,26174,47939
"2025-09",8322,4042,16403,15758,11840,22337
