"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.758842443729904,0.987138263665595,0.50036575562701,0.22289470215992,311,311
"catch",0.736323851203501,0.983223924142961,0.500513767323122,0.270963161018041,2742,2742
