"data_type","day","mean_mu","V_poisson","V_nb_overdisp","V_latent","V_total","pred_vmr"
"gear",1,74.0815088365282,74.0815088365282,329.919928966275,355.576260486271,759.577698289074,10.253269813459
"gear",3,28.9892910073919,28.9892910073919,51.2815932200167,62.9135577166616,143.18444194407,4.93921848269969
"gear",4,29.953112320484,29.953112320484,54.2808330212177,64.0650121648383,148.29895750654,4.95103667090792
"gear",5,21.5323080814814,21.5323080814814,28.4294676300259,39.576271711779,89.5380474232862,4.15831164427247
"gear",6,28.8391878250487,28.8391878250487,50.0898638030941,50.3371302597714,129.266181887914,4.48231006615374
"gear",7,33.401956974362,33.401956974362,68.0912390729354,86.6245993154635,188.117795362761,5.63193933538542
"gear",10,24.3206860304066,24.3206860304066,36.4045734322517,49.3918316737917,110.11709113645,4.52771319850014
"gear",11,22.974016089549,22.974016089549,32.3382039662525,42.474270731411,97.7864907872125,4.25639515555559
"gear",12,35.2709196291594,35.2709196291594,74.779408909468,83.1681911788296,193.218519717457,5.47812537209033
"gear",13,28.4075671380948,28.4075671380948,49.8751505331359,68.340868110926,146.623585782157,5.16142706164842
"gear",14,37.9734408774108,37.9734408774108,87.9299213173398,107.397287720886,233.300649915637,6.14378482763252
"gear",15,36.1503244723814,36.1503244723814,79.7067132194039,98.8930973876404,214.750135079426,5.94047600439916
"gear",18,31.6699727474377,31.6699727474377,61.4659967272204,80.8486396829063,173.984609157564,5.4936772615834
"gear",20,25.1395410216258,25.1395410216258,39.0370027855487,54.4822876005441,118.658831407719,4.72000786751216
"gear",21,22.6340634841173,22.6340634841173,31.7211836846667,45.4767351924048,99.8319823611887,4.41069640152077
"gear",22,23.3843583040074,23.3843583040074,33.9084204279358,48.5168286218397,105.809607353783,4.52480268982409
"gear",23,28.0870870443157,28.0870870443157,47.6565824135097,55.9963512093611,131.740020667187,4.69041237559906
"gear",24,32.0323138567862,32.0323138567862,62.2097600229986,75.2435164723543,169.485590352139,5.2910817217231
"gear",26,33.6289504806162,33.6289504806162,68.5526164335222,82.5219674410826,184.703534355221,5.49239663193427
"gear",27,53.1248418992991,53.1248418992991,170.430166389136,179.567333566654,403.122341855089,7.58820784105537
"gear",28,59.2736560758793,59.2736560758793,212.583161571725,239.032132656379,510.888950303984,8.61915704423511
"gear",31,96.271072014045,96.271072014045,554.934878982099,533.888849441857,1185.094800438,12.3099782275729
"gear",32,63.333742008744,63.333742008744,243.288932561802,270.457228435296,577.079903005842,9.11172914630828
"gear",33,28.522780059955,28.522780059955,49.2176068597356,60.0670634037614,137.807450323452,4.83148732464998
"gear",34,54.4686983186385,54.4686983186385,178.384651633789,185.512814636177,418.366164588604,7.68085483044202
"gear",35,42.9743787345022,42.9743787345022,113.130352360327,145.868734178812,301.973465273641,7.02682561484478
"gear",38,21.9004620353715,21.9004620353715,29.7469325198985,45.0101949980029,96.6575895532729,4.41349545033164
"gear",39,29.5821312063313,29.5821312063313,52.887592420164,62.2804053412094,144.750128967705,4.89316094091032
"gear",40,34.4537640235635,34.4537640235635,71.4693290862887,81.7907664073145,187.713859517167,5.44828307841159
"gear",41,43.0802720282228,43.0802720282228,112.959099541964,135.108256000757,291.147627570944,6.75825880069206
"gear",42,130.702624150028,130.702624150028,1007.89373097254,888.20643454016,2026.80278966273,15.5069785541279
"gear",45,47.6766698869103,47.6766698869103,137.080171181324,157.018363958467,341.775205026701,7.16860480896414
"gear",47,20.0315701644382,20.0315701644382,24.9936533162693,36.8877043859582,81.9129278666657,4.08919157081779
"gear",48,48.5216975480346,48.5216975480346,141.946809618363,156.363267917091,346.831775083489,7.14797281649388
"gear",49,61.0287898475281,61.0287898475281,222.430985688797,240.944466345533,524.404241881858,8.59273538262857
"gear",52,16.9829988824573,16.9829988824573,17.8420879993681,26.4317001143095,61.2567869961349,3.60694759624642
"gear",53,9.64688424434506,9.64688424434506,5.71829493828971,8.00645654647485,23.3716357291096,2.42271340021623
"gear",54,15.2202871212495,15.2202871212495,14.3622611834024,23.3170836047225,52.8996319093745,3.47560013079646
"gear",55,16.2234999370652,16.2234999370652,16.7442196428045,29.4299556996724,62.3976752795421,3.84612910417588
"gear",56,60.4890249526873,60.4890249526873,218.398167611043,214.46814893539,493.35534149912,8.15611330956331
"gear",60,32.1413571534402,32.1413571534402,62.6121637461367,74.6205982033598,169.374119102937,5.26966295462754
"gear",61,24.162847695388,24.162847695388,35.4828913603015,43.6056721702994,103.251411225989,4.27314745876152
"gear",62,20.9592621080172,20.9592621080172,27.6239986912508,44.1178023122388,92.7010631115069,4.42291635238663
"gear",63,45.5830294228212,45.5830294228212,125.798720487696,148.328476358735,319.710226269252,7.01379944065737
"gear",67,5.66377789838946,5.66377789838946,2.16816266331287,5.81327674207735,13.6452173037797,2.40920769644936
"gear",68,6.4937176854457,6.4937176854457,2.73461199661929,6.22509064397504,15.45342032604,2.37974933229321
"gear",69,16.4476894430611,16.4476894430611,16.8402064225086,26.7950709203407,60.0829667859104,3.65297308135022
"gear",70,64.1816677412368,64.1816677412368,246.474421339477,258.168086718945,568.824175799659,8.86272039693648
"gear",73,20.6919193203528,20.6919193203528,26.479821844549,38.5978411519085,85.7695823168103,4.14507620046858
"gear",74,14.2979795089693,14.2979795089693,12.9121999879488,21.7437545147488,48.953934011667,3.42383579308933
"gear",76,28.5734276985328,28.5734276985328,50.6470983134678,73.2919257092528,152.512451721253,5.33756234394955
"gear",77,61.0077720417632,61.0077720417632,222.939958826462,228.934414367758,512.882145235983,8.40683290130456
"gear",81,15.9110974713536,15.9110974713536,15.9348865443267,26.6989074154375,58.5448914311178,3.67950052072286
"gear",82,26.8521447312641,26.8521447312641,43.1830100991549,48.9460686409525,118.981223471371,4.4309765444114
"gear",83,23.2597853758203,23.2597853758203,33.3094946724398,46.6162441487112,103.185524196971,4.43621996203962
"gear",84,29.4595087704395,29.4595087704395,53.1941349452049,69.235379597441,151.889023313085,5.15585729879838
"gear",87,15.3349956574045,15.3349956574045,15.0022460626218,28.2972735008273,58.6345152208536,3.82357559994103
"gear",88,30.42574633261,30.42574633261,56.0991534191604,65.811205576841,152.336105328611,5.00681572978669
"gear",89,31.5230500558079,31.5230500558079,60.0901323704055,68.0180242637564,159.63120668997,5.06395181961648
"gear",90,32.7489572689804,32.7489572689804,67.906687187555,100.848737631659,201.504382088194,6.15300146606676
"gear",91,90.9863133246734,90.9863133246734,489.543313058678,428.914811692101,1009.44443807545,11.0944646638597
"gear",94,5.39948711114921,5.39948711114921,1.76895987851626,1.9712762567369,9.13972324640238,1.69270211378597
"gear",94,5.39948711114921,5.39948711114921,1.76895987851626,1.9712762567369,9.13972324640238,1.69270211378597
"gear",94,5.39948711114921,5.39948711114921,1.76895987851626,1.9712762567369,9.13972324640238,1.69270211378597
"gear",95,4.43624614403078,4.43624614403078,1.21194612081932,1.62386517807298,7.27205744292308,1.63923668949435
"gear",95,4.43624614403078,4.43624614403078,1.21194612081932,1.62386517807298,7.27205744292308,1.63923668949435
"gear",95,4.43624614403078,4.43624614403078,1.21194612081932,1.62386517807298,7.27205744292308,1.63923668949435
"gear",96,21.5529615001108,21.5529615001108,26.947193859685,14.6885804212852,63.188735781081,2.93178901566526
"gear",96,21.5529615001108,21.5529615001108,26.947193859685,14.6885804212852,63.188735781081,2.93178901566526
"gear",96,21.5529615001108,21.5529615001108,26.947193859685,14.6885804212852,63.188735781081,2.93178901566526
"gear",97,13.2827710033052,13.2827710033052,10.5203775493567,8.129231930309,31.9323804829709,2.40404509533628
"gear",97,13.2827710033052,13.2827710033052,10.5203775493567,8.129231930309,31.9323804829709,2.40404509533628
"gear",97,13.2827710033052,13.2827710033052,10.5203775493567,8.129231930309,31.9323804829709,2.40404509533628
