"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-3621.49376150346,42.2944048443064,43.4296973345587,4.76619572230531,7242.98752300692,84.5888096886129
"model1",-8.37829849907577,4.70720981262386,-3629.87206000262,42.9935667897134,38.1366394616541,4.74183984747175,7259.74412000523,85.9871335794268
