"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model1",0,0,-11128.8157724808,82.2883011184051,184.084324719042,10.5555398033892,22257.6315449616,164.57660223681
"model2",-1.80394921801405,3.4304907242009,-11130.6197216993,82.4650784288217,179.314700767632,10.5840601754297,22261.2394433986,164.930156857643
