"Mode","PE_Catch","PE_Effort"
"Shore (Dock/Jetty/Beach)",45907.218470009,138162.93281417
"Private Boat",12231.5055242825,35856.3006478335
"Commercial/Charter",12007.1197463768,282.811594202899
"PORT TOTAL",70145.8437406682,174302.045056206
