"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1663,1142,2751,1216,917,1680
"2024-10",3045,2356,4179,2134,1731,2655
"2024-11",2623,1988,3689,1953,1522,2489
"2024-12",9169,8366,10299,2283,1810,2893
"2025-01",6818,6347,7540,2275,1813,2888
"2025-02",1563,1307,1943,1510,1159,1988
"2025-03",1251,891,1877,1670,1392,2012
"2025-04",2893,2183,3981,3187,2630,3897
"2025-05",5706,3528,9965,3560,2857,4475
"2025-06",4502,2805,7844,3421,2591,4512
"2025-07",11502,6063,23103,7403,5187,10644
"2025-08",14674,7721,27446,7920,5594,11233
"2025-09",4118,2356,8080,2866,1991,4227
