"Section","Minutes"
"1_load_data",0
"2_diagnostic_plots",0.1
"3_PE_estimates",0
"4_commercial_charter",0
"5_BSS_model_runs",26.4
"BSS_shore_ring_net_only_Dungeness_Kept_att1",2.1
"BSS_shore_all_gear_Dungeness_Kept_att1",10.7
"BSS_private_boat_ring_net_only_Dungeness_Kept_att1",1.2
"BSS_private_boat_all_gear_Dungeness_Kept_att1",11.1
"6_outputs",1.8
"7_sensitivity",0
