"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-78.3171098490712,6.84548373907691,5.55041141995788,0,-72.77
"catch",17,-53.1525761193534,3.76721820109316,3.87511266174159,1,-49.28
