"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",583.847491764706,1169.86375058824
"Private Boat (All gear)",11884.6562431034,36464.2071214921
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",35341.1042179599,71153.0103282145
