"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.26-1.39)","4.03 gear/group (1.46-10.84)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.02 gear/group (1.52-10.54)"
"private_boat_all_gear_Dungeness_Kept","1.23 gear/crabber (0.68-2.22)","3.55 gear/group (3.24-3.89)"
