"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1674,1316,2315,1198,936,1659
"2024-10",3224,2668,4006,2253,1856,2767
"2024-11",2496,1933,3259,1870,1468,2393
"2024-12",9708,8877,10814,2278,1870,2829
"2025-01",7375,6831,8209,2491,1994,3244
"2025-02",1716,1399,2210,1530,1186,2055
"2025-03",1870,1323,2869,2060,1635,2724
"2025-04",3534,2480,5320,3388,2666,4498
"2025-05",8058,5306,13359,3965,3124,5313
"2025-06",4363,2721,7515,3316,2411,4868
"2025-07",12632,7209,23723,7412,5557,10377
"2025-08",19256,12426,31685,8358,6512,11006
"2025-09",5841,3388,10846,3609,2722,5026
