"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59168,48152,75812,0.71
"Trap",11486,10178,13205,0.138
"Ring Net",10332,8915,12161,0.124
"Snare",1996,1721,2346,0.024
"Other",409,237,694,0.005
