"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.472,0.147,0.797,"1.6x (1.2-2.2)",0.02,-0.967,1.168,"1.6x (0.6-5.1)"
"shore_all_gear_Dungeness_Kept",0.763,0.628,0.9,"2.1x (1.9-2.5)",0.379,0.008,0.789,"3.1x (2.2-4.7)"
"private_boat_all_gear_Dungeness_Kept",0.449,0.212,0.7,"1.6x (1.2-2.0)",0.655,0.09,1.266,"3.0x (1.8-5.5)"
