"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,20643,8791,39596,-25,59529,47173,78653,-10.4,FALSE
1,0.8333,22937,9767,43996,-16.7,61850,48181,83031,-6.9,FALSE
1.2,1,27524,11721,52795,0,66447,50171,91734,0,TRUE
1.5,1.25,34406,14651,65994,25,73378,53012,104878,10.4,FALSE
1.8,1.5,41287,17581,79193,50,80288,56000,118003,20.8,FALSE
