"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1016,2041,1063,791,1544
"2024-10",2766,2191,3525,2024,1626,2555
"2024-11",2401,1824,3201,1820,1407,2375
"2024-12",8914,8202,9865,2072,1614,2681
"2025-01",6645,6259,7178,2112,1655,2751
"2025-02",1563,1305,1936,1402,1045,1886
"2025-03",1181,852,1701,1558,1296,1873
"2025-04",2542,1904,3380,2795,2287,3421
"2025-05",5006,3231,8287,3223,2597,4009
"2025-06",4396,2641,7998,3083,2267,4176
"2025-07",11468,6033,22801,7359,5141,10405
"2025-08",13284,7171,24567,7038,5065,9928
"2025-09",3761,2230,7291,2620,1841,3759
