"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-3621.5685075684,42.2706384817315,43.2275362228447,4.70146419023737,7243.13701513679,84.5412769634631
"model1",-11.399973379105,4.73809106295946,-3632.96848094743,43.0143640956949,38.1705398257455,4.28608685566266,7265.93696189487,86.0287281913897
