"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48128,31444,75269,0.67
"Trap",11830,10644,13199,0.165
"Ring Net",9567,7944,12058,0.133
"Snare",2009,1760,2319,0.028
"Other",283,125,627,0.004
