"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1699,1148,2953,1240,932,1696
"2024-10",3033,2371,4130,2135,1733,2646
"2024-11",2665,2044,3825,1966,1546,2499
"2024-12",9147,8364,10238,2292,1843,2876
"2025-01",6908,6427,7648,2332,1859,2946
"2025-02",1528,1295,1863,1498,1191,1910
"2025-03",1327,979,1910,1774,1489,2125
"2025-04",2766,2059,3843,3086,2525,3760
"2025-05",5700,3490,10066,3392,2658,4355
"2025-06",5037,3097,8547,3824,2844,5149
"2025-07",11841,6316,23242,7580,5229,10884
"2025-08",14865,7835,27981,7946,5560,11308
"2025-09",4174,2380,8311,2861,1968,4257
