"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","Pot",144,58,471,NA,"BSS"
"shore","ring_net_only","Ring Net",5850,4737,7250,NA,"BSS"
"shore","ring_net_only","Snare",1134,769,1587,NA,"BSS"
"shore","ring_net_only","Trap",6299,5179,8045,NA,"BSS"
"shore","all_gear","Pot",15642,13009,19134,NA,"BSS"
"shore","all_gear","Ring Net",7736,5996,10108,NA,"BSS"
"shore","all_gear","Snare",3930,2706,5775,NA,"BSS"
"shore","all_gear","Trap",22351,18345,27228,NA,"BSS"
"private_boat","ring_net_only","Pot",NA,NA,NA,103,"PE (proportional)"
"private_boat","ring_net_only","Ring Net",NA,NA,NA,738,"PE (proportional)"
"private_boat","ring_net_only","Snare",NA,NA,NA,52,"PE (proportional)"
"private_boat","ring_net_only","Trap",NA,NA,NA,52,"PE (proportional)"
"private_boat","all_gear","Pot",31396,20951,51358,NA,"BSS"
"private_boat","all_gear","Ring Net",2671,538,16064,NA,"BSS"
"comm_charter","census","Pot",NA,NA,NA,12007,"Census"
