"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","70146"
"BSS total catch (median)","111935"
"BSS 95% CI lower","97904"
"BSS 95% CI upper","136227"
"Catch: Shore","45907"
"Catch: Private Boat","12232"
"Catch: Commercial/Charter","12007"
"Catch %: Shore","65.4"
"Catch %: Private Boat","17.4"
"Catch %: Commercial/Charter","17.1"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","2"
