"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","2.02x (1.46-2.82)","1.81x (0.72-5.32)","0.85x (0.72-1.00)",-0.166,-0.328,-0.005
"shore_all_gear_Dungeness_Kept","2.48x (2.04-2.99)","2.68x (1.65-4.39)","0.68x (0.58-0.82)",-0.379,-0.552,-0.198
"private_boat_ring_net_only_Dungeness_Kept","2.28x (1.40-3.70)","2.31x (0.31-17.50)","1.01x (0.33-3.37)",0.01,-1.105,1.216
"private_boat_all_gear_Dungeness_Kept","1.90x (1.48-2.46)","3.13x (1.79-5.75)","0.83x (0.59-1.18)",-0.181,-0.528,0.167
