"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,23502,19257,23,81.9
"boat pot-closure",76,13,609,431,17,70.8
"shore all-gear",289,145,17858,9112,50,51
"shore pot-closure",76,51,5957,1984,67,33.3
