"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1612,1123,2606,1187,897,1631
"2024-10",2921,2299,3867,2087,1700,2591
"2024-11",2560,1971,3436,1936,1514,2466
"2024-12",8747,8133,9571,2089,1723,2586
"2025-01",6767,6361,7322,2413,1937,3099
"2025-02",1544,1299,1928,1497,1183,1979
"2025-03",1433,1040,2036,2001,1600,2596
"2025-04",2810,2044,3956,3216,2522,4202
"2025-05",4833,3024,8222,3213,2464,4331
"2025-06",4503,2683,8002,3556,2517,5210
"2025-07",10775,5496,21858,6883,4629,10124
"2025-08",12706,6798,23597,6835,4736,9827
"2025-09",3716,2183,7087,2592,1809,3741
