"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",43010,28752,65669,0.654
"Trap",11535,10281,13129,0.175
"Ring Net",9006,7509,11226,0.137
"Snare",1952,1701,2268,0.03
"Other",243,103,543,0.004
