"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27694,40121,33747,48263
"Dungeness_Kept","Expected_Catch",45112,65988,50167,91060
"Dungeness_Kept","Predictive_Catch",NA,65992,50181,90986
