"data_type","day","mean_mu","V_poisson","V_nb_overdisp","V_latent","V_total","pred_vmr"
"gear",2,31.0384956311158,31.0384956311158,321.675442838568,33.0326879078772,385.746626377561,12.4280065297641
"gear",3,31.0384956311158,31.0384956311158,321.675442838568,33.0326879078772,385.746626377561,12.4280065297641
"gear",4,31.0384956311158,31.0384956311158,321.675442838568,33.0326879078772,385.746626377561,12.4280065297641
"gear",5,49.8522702012381,49.8522702012381,829.674693497019,88.9430474856817,968.470011183939,19.4267985645293
"gear",6,49.8522702012381,49.8522702012381,829.674693497019,88.9430474856817,968.470011183939,19.4267985645293
"gear",9,31.0384956311158,31.0384956311158,321.675442838568,33.0326879078772,385.746626377561,12.4280065297641
"gear",10,31.0384956311158,31.0384956311158,321.675442838568,33.0326879078772,385.746626377561,12.4280065297641
"gear",12,49.8522702012381,49.8522702012381,829.674693497019,88.9430474856817,968.470011183939,19.4267985645293
"gear",13,49.8522702012381,49.8522702012381,829.674693497019,88.9430474856817,968.470011183939,19.4267985645293
"gear",16,30.2582766576835,30.2582766576835,304.693235247009,29.7546138418686,364.706125746561,12.0531030194659
"gear",18,30.2582766576835,30.2582766576835,304.693235247009,29.7546138418686,364.706125746561,12.0531030194659
"gear",19,48.5476486133914,48.5476486133914,782.846816289243,74.350363155731,905.744828058366,18.6568217808292
"gear",20,48.5476486133914,48.5476486133914,782.846816289243,74.350363155731,905.744828058366,18.6568217808292
"gear",23,30.2582766576835,30.2582766576835,304.693235247009,29.7546138418686,364.706125746561,12.0531030194659
"gear",24,30.2582766576835,30.2582766576835,304.693235247009,29.7546138418686,364.706125746561,12.0531030194659
"gear",26,48.5476486133914,48.5476486133914,782.846816289243,74.350363155731,905.744828058366,18.6568217808292
"gear",27,48.5476486133914,48.5476486133914,782.846816289243,74.350363155731,905.744828058366,18.6568217808292
"gear",28,48.5476486133914,48.5476486133914,782.846816289243,74.350363155731,905.744828058366,18.6568217808292
"gear",30,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",31,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",32,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",33,44.8290782155622,44.8290782155622,671.272330035391,62.7500517911503,778.851460042103,17.3738004671202
"gear",34,44.8290782155622,44.8290782155622,671.272330035391,62.7500517911503,778.851460042103,17.3738004671202
"gear",36,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",37,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",38,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",39,27.8332402806461,27.8332402806461,257.308076998464,18.4292696988721,303.570586977982,10.9067641394621
"gear",40,44.8290782155622,44.8290782155622,671.272330035391,62.7500517911503,778.851460042103,17.3738004671202
"gear",41,44.8290782155622,44.8290782155622,671.272330035391,62.7500517911503,778.851460042103,17.3738004671202
"gear",42,44.8290782155622,44.8290782155622,671.272330035391,62.7500517911503,778.851460042103,17.3738004671202
"gear",45,24.9385942516788,24.9385942516788,211.471931539712,23.7456151227707,260.156140914162,10.4318687047346
"gear",46,24.9385942516788,24.9385942516788,211.471931539712,23.7456151227707,260.156140914162,10.4318687047346
"gear",47,40.0458497038814,40.0458497038814,544.608556952108,62.2642728042333,646.918679460222,16.1544500677063
"gear",48,40.0458497038814,40.0458497038814,544.608556952108,62.2642728042333,646.918679460222,16.1544500677063
"gear",51,24.9385942516788,24.9385942516788,211.471931539712,23.7456151227707,260.156140914162,10.4318687047346
"gear",52,24.9385942516788,24.9385942516788,211.471931539712,23.7456151227707,260.156140914162,10.4318687047346
"gear",53,24.9385942516788,24.9385942516788,211.471931539712,23.7456151227707,260.156140914162,10.4318687047346
"gear",54,40.0458497038814,40.0458497038814,544.608556952108,62.2642728042333,646.918679460222,16.1544500677063
"gear",55,40.0458497038814,40.0458497038814,544.608556952108,62.2642728042333,646.918679460222,16.1544500677063
"gear",59,24.2320371755643,24.2320371755643,199.707216295047,22.5289023372935,246.468155807905,10.1711694325248
"gear",60,24.2320371755643,24.2320371755643,199.707216295047,22.5289023372935,246.468155807905,10.1711694325248
"gear",61,38.8883902354362,38.8883902354362,513.366422256263,57.7089937506157,609.963806242314,15.6849847100767
"gear",62,38.8883902354362,38.8883902354362,513.366422256263,57.7089937506157,609.963806242314,15.6849847100767
"gear",65,24.2320371755643,24.2320371755643,199.707216295047,22.5289023372935,246.468155807905,10.1711694325248
"gear",66,24.2320371755643,24.2320371755643,199.707216295047,22.5289023372935,246.468155807905,10.1711694325248
"gear",67,24.2320371755643,24.2320371755643,199.707216295047,22.5289023372935,246.468155807905,10.1711694325248
"gear",68,38.8883902354362,38.8883902354362,513.366422256263,57.7089937506157,609.963806242314,15.6849847100767
"gear",69,38.8883902354362,38.8883902354362,513.366422256263,57.7089937506157,609.963806242314,15.6849847100767
"gear",72,34.3025777106083,34.3025777106083,408.846300374057,95.9434820942404,539.092360178906,15.7157973586396
"gear",73,34.3025777106083,34.3025777106083,408.846300374057,95.9434820942404,539.092360178906,15.7157973586396
"gear",75,63.0717147391795,63.0717147391795,1807.43292724017,1497.415845197,3367.92048717635,53.3982705417748
"gear",76,55.0184102598542,55.0184102598542,1051.84273997573,242.659828730111,1349.52097896569,24.5285345867292
