"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1016,2041,1063,791,1544
"2024-10",2766,2191,3525,2024,1626,2555
"2024-11",2401,1824,3201,1820,1407,2375
"2024-12",8912,8200,9872,2069,1617,2678
"2025-01",6643,6262,7191,2111,1654,2747
"2025-02",1563,1304,1935,1403,1044,1884
"2025-03",1184,860,1701,1557,1294,1874
"2025-04",2529,1913,3388,2795,2290,3439
"2025-05",5000,3226,8294,3224,2591,4002
"2025-06",4402,2682,7999,3073,2268,4158
"2025-07",11473,6046,22851,7372,5143,10453
"2025-08",13318,7228,24653,7051,5058,9887
"2025-09",3756,2262,7376,2608,1863,3791
