"term","edf","Ref.df","F","p-value"
"s(yday)",5.30499291396632,7,10.4943233552872,0
"s(tide_range_m)",2.31384898550893,4,9.78389051887169,0
"s(daytime_tide_range_m)",1.69898154175417,4,1.67396084292022,0.00964227073214197
"s(daytime_high_hour)",0.463386642662755,4,0.226062032595419,0.149955506286605
"s(n_high_tides_daytime)",0.680056745935207,4,0.544619545174722,0.0496318450905158
"s(flood_hours_daytime)",8.45352861538462e-06,4,9.15393762522625e-07,0.530188377683592
"s(tidal_energy)",0.826901815978213,4,1.19816780952969,0.00715542221218146
"s(wave_h_m_mean)",2.77636095957558,4,22.7468932187977,0
"s(wave_h_m_max)",1.08967486042583e-05,4,8.15727930046293e-07,0.574188519665777
"s(precip_mm_total)",1.21732869009687,4,3.96557248326761,6.39689690841161e-05
"s(temp_c_max)",0.964828424837739,4,7.15190263809707,0
