"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",11026.2951383396,6151.97260479593
"Shore (all-gear)",42541.3657046141,13615.0728486837
"Private Boat (ring-net)",583.905882352941,913.745454545454
"Private Boat (all-gear)",11885.8448275862,21909.7491237905
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",66320.2231470957,54597.6597781923
