"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",52,-227.865099024944,6.11032678772446,5.96781497359232,1,-221.9
"catch",627,-1485.24410238774,28.914609070956,7.30207836904233,0,-1477.94
