"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.28095038703828,0.0181588649845461,1.28073781802757,1.24538579853105,1.31688353163083,0.956,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.445877859389198,0.273779321987998,0.475090572086862,-0.185207595828247,0.887586082321018,0.388,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.106827894629368,0.379577206539828,0.119619301118107,-0.636802416737197,0.79306998429822,0.151,TRUE
"B1","normal(0, 1.0)",0,1,0.763572069588551,0.0694898629327991,0.764287210598872,0.62479022083312,0.900617781286152,0.931,FALSE
"B2","normal(0, 1.0)",0,1,0.399569880388528,0.192551938159961,0.394378450198318,0.0299166206760225,0.790453457114626,0.807,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.09429325971564,0.260065158945097,3.08948742978746,2.57255622144036,3.64132313202176,0.87,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,-0.673211061635942,0.200758801324715,-0.691867160851825,-1.01560021891823,-0.205655779472859,0.9,FALSE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,0.368564010678786,0.116515439328255,0.345901031860015,0.205059796845227,0.658419547692128,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.358803401489707,0.116734324097997,0.336480318755952,0.198863527568365,0.656378488064652,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.554769156838273,0.0244841760044998,0.554055486797524,0.509068349391208,0.60452782908787,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,1.15711508548797,0.0335793339948602,1.15727504738112,1.09105581630768,1.22273692922049,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,20.9870382428619,474.928526539143,2.0251346380165,0.0918329211878851,57.5010495119813,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,30.0678776024257,1172.92022598716,2.02801621709084,0.0715630186220297,50.7147566987243,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.613753422557104,0.0723905852618035,-0.613769726992016,-0.755317921031582,-0.474948128328841,0.928,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.53904332785487,2.44218512390451,4.02144915279115,1.49431608482178,10.6904981365335,-0.011,TRUE
