"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (mixed units; see effort_units_note)",66320,80747,74959,87444,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
"Dungeness_Kept","Catch",54598,83057,70203,101031,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
