"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27694,46678,33760,62822
"Dungeness_Kept","Expected_Catch",45112,75619,54203,106691
"Dungeness_Kept","Predictive_Catch",NA,75597,54123,106744
