"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",49061,32260,76270,0.653
"Trap",13072,9350,18412,0.174
"Ring Net",10452,7519,14223,0.139
"Snare",2221,1582,3102,0.03
"Other",290,127,631,0.004
