"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","cov50_worst_dev","cov50_worst_stream","pit_sd_worst_dev","disp_neff_min","disp_neff_min_par","disp_scale_min","disp_scale_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_miscalibrated","flag_dispersion_neff","source","method_selected"
"private_boat_all_gear_Dungeness_Kept",0.0801,"catch",1,0.0211,"osp",0.1718,"trailer",0.0207,11125,"sigma_r_C",0.767,"sigma_r_C",FALSE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.212,"catch",1,0.0837,"osp",0.25,"trailer",0.0345,5042,"r_E",0.6665,"sigma_r_OSP",FALSE,TRUE,TRUE,TRUE,FALSE,"reconstructed","BSS"
"shore_all_gear_Dungeness_Kept",0.3475,"gear",31,0.0016,"catch",0.2363,"gear",0.0615,5045,"sigma_r_E",0.2341,"sigma_r_E",TRUE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"shore_ring_net_only_Dungeness_Kept",0.1111,"gear",0,0.0169,"gear",0.0662,"catch",0.0199,6459,"r_E",0.5054,"sigma_r_E",FALSE,FALSE,FALSE,FALSE,FALSE,"reconstructed","BSS"
