"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1695,923,3264,1213,707,2154
"2024-10",2976,1744,5348,2078,1197,3757
"2024-11",2613,1437,4931,1900,1036,3510
"2024-12",9514,8317,11178,2538,1664,3714
"2025-01",7271,6505,8388,2915,1884,4402
"2025-02",1728,1331,2362,1771,1120,2728
"2025-03",1755,1105,2733,2392,1532,3631
"2025-04",3396,2166,5259,3833,2502,5794
"2025-05",6116,3586,10839,3902,2588,5845
"2025-06",5138,2901,9113,4127,2599,6634
"2025-07",12025,6219,23641,7826,4984,11733
"2025-08",15170,7917,28306,8097,5190,12009
"2025-09",4560,2541,8809,3147,2023,4719
