"label","model_used","features","C_expected_median","C_expected_lo95","C_expected_hi95","E_median","E_lo95","E_hi95"
"shore_ring_net_only_Dungeness_Kept","baseline","",6732.949434586,5607.31012648392,8182.15359255418,11147.646161209,9462.94184490438,13336.0383635995
"shore_all_gear_Dungeness_Kept","baseline","",19116.0683604752,16644.8836168545,22408.8715469131,55645.2731032616,49587.5557933873,63832.5245871258
"private_boat_all_gear_Dungeness_Kept","baseline","",12399.5145807848,7493.45907236276,20730.4895757459,19358.5411750583,15376.4628338402,26441.6615229446
