"obs","k_baseline","k_covariates"
1,0.166755423033699,0.186889830851431
2,0.132866762893789,0.171487041055628
3,0.326515847927758,0.233826163487079
4,0.151855166842818,0.0938046637502636
5,0.244853755299963,0.218667193762642
6,0.244853755299963,0.344958704167962
7,0.256556951470862,0.18550163956552
8,0.1760566915987,0.309950474011098
9,0.256556951470862,0.100727048743569
10,0.183501509306038,0.101907733160276
11,0.183501509306038,0.202081224267371
12,0.288101049968664,0.240718326815954
13,0.34299077853655,0.340508557753832
14,0.208943789570738,0.257770347641783
15,0.208943789570738,0.242334642231364
16,0.208943789570738,0.0801176915442713
17,0.146667551066942,0.296256551637147
18,0.238559446866141,0.237664070370873
19,0.175771596352029,0.218027850094888
20,0.157152348558129,0.190784198892383
21,0.372679198578871,0.544537652362279
22,0.227822359065908,0.397590396971611
23,0.286327479350115,0.372628020732954
24,0.190463464345698,0.179804640846195
25,0.153047737153802,0.22943997461284
26,0.153047737153802,0.203554776824742
27,0.159410378490888,0.223601191238703
28,0.379755357855648,0.512825431865445
29,0.111515060770127,0.303518949286662
30,0.138379033838126,0.284902432394712
31,0.138379033838126,0.168092429311444
32,0.315405509458568,0.431868583660284
33,0.200663156374621,0.257520014720297
34,0.155451753986609,0.187655354327395
35,0.193629069321738,0.35945555573589
36,0.144291586901355,0.158104924463509
37,0.144291586901355,0.157489307664974
38,0.0681176226477455,0.202268233386086
39,0.157019354952356,0.217254700003643
40,0.157019354952356,0.234771912454147
41,0.625284665567482,0.483609025345943
42,0.114711854356113,0.155047069002695
43,0.19075241686303,0.166697552056343
44,0.19075241686303,0.104132988016007
45,0.155177222220428,0.128670618993613
46,0.155177222220428,0.208338789450928
47,0.172597187461876,0.2622310403562
48,0.394975393987317,0.504040983663844
49,0.172325616761244,0.202770068052402
50,0.122510232670736,0.169387888866936
51,0.164037820592507,0.163236712480803
52,0.203900685963795,0.367185118530828
53,0.188402320647642,0.188930859688557
54,0.188402320647642,0.301408951682582
55,0.196968300215354,0.295382781646125
56,0.368892391246195,0.202757055113107
57,0.254837213611727,0.199191770272057
58,0.392240764517432,0.286326685316501
59,0.254837213611727,0.143098451941564
60,0.182441347223391,0.267741300264165
61,0.355813550221126,0.31226555552962
62,0.146011793507952,0.164556814202895
63,0.146011793507952,0.187327466689157
64,0.240339291931306,0.223721905177642
65,0.235755116298631,0.314708349839172
66,0.30105322850926,0.0378031237586592
67,0.212879387030203,0.0791158782624
68,0.202125498784478,0.151612679460698
69,0.15363994347907,0.169390350652546
70,0.250371131489003,0.106549712492969
71,0.1077608472521,0.116992280744347
72,0.1077608472521,0.116992280744347
73,0.1077608472521,0.0826567064993422
74,-0.0387634240066082,0.0857659044317653
75,0.0277996754314746,0.21096585807635
76,0.476573594202667,0.582370871013054
77,-0.0387634240066082,0.236328723018293
78,0.609120387225683,0.739902397590608
79,0.124351548501014,0.210157260184229
80,0.194421078488272,0.191161939215666
81,0.159444371343273,0.204022015516722
82,0.159444371343273,0.174038477007048
83,0.13906388772342,0.280439283937034
84,0.223827626102777,0.284061565440465
85,0.12396136686386,0.204344592298522
86,0.345894273262426,0.292533580944425
87,0.269557138501475,0.249478261718489
88,0.190333416007124,0.43744755709242
89,0.179747416061966,0.306029971251483
90,0.184733585000985,0.319764950335769
91,0.304289703281104,0.480837492379697
92,0.222215374927262,0.393033551524662
93,0.222215374927262,0.393033551524662
94,0.206987201960298,0.337957521664213
95,0.0218076290245444,0.0210614282012234
96,0.0203795126048311,-0.0255894146168048
97,0.0895532940370461,0.0691843812463967
98,0.72299440206156,0.421207330859487
99,0.72299440206156,0.421207330859487
100,0.223073877683873,0.121511796736073
101,0.167146890896375,0.188097070008426
102,0.195582813187757,0.155664350921256
103,0.166238636603461,0.14775265346007
104,0.166238636603461,0.14775265346007
105,0.156605547062817,0.200504833836838
106,0.174264226773514,0.178629811958996
107,0.174264226773514,0.178629811958996
108,0.0275479421054683,0.151486850956243
109,0.0275479421054683,0.151486850956243
110,0.0676788677137315,0.0967850835057454
111,0.522906792300861,0.445242066416208
112,0.405483733824831,0.337196500822284
113,0.164722537041126,0.180436010319678
114,0.275253528308591,0.218274652877077
115,0.0779833449840589,0.14766812567415
116,0.0780169482597361,0.147656598113445
117,0.0712056850352764,0.132416972669521
118,0.0712056850352764,0.132416972669521
119,0.235284600772943,0.263930905202141
120,0.204661316355254,0.242128930141112
121,0.247129287895583,0.137811234052758
122,0.0832143738753372,0.165913122053093
123,0.396397525456527,0.493233465974854
124,0.1786597002513,0.505343827890645
125,0.117094236230171,0.0433923701910388
126,0.117094236230171,0.0433923701910388
127,0.137572620187857,0.300230520479335
128,0.148190257209368,0.332233753940117
129,0.0975565804504224,0.107035055244479
130,0.13324944894706,0.0917808119671009
131,0.149689192538519,0.0992134651323645
132,0.270897273347316,0.277986557961284
133,0.30529989416554,0.305410802366415
134,0.301732956383883,0.244860959744129
135,0.301732956383883,0.244860959744129
136,0.152230310314046,0.208230461668437
137,0.115569761370526,0.305581670802744
138,0.332581480058695,0.274627978487765
139,0.821605484697122,0.784322023579048
140,0.249545363477724,0.303942221461431
141,0.234824251279159,0.302555532159029
142,0.220573544348465,0.226575400458583
143,0.222188605254456,0.227620419456386
144,0.611412151179899,0.71556554814827
145,0.625285241042289,0.768071464317799
146,0.159821426925474,0.493517112610146
147,0.0904430449120853,0.349604246396546
148,0.109587250234787,0.363433586685534
149,0.161477215459841,0.390338692750075
150,0.112236517733537,0.211066058952595
151,0.115879263836546,0.139528876340405
152,0.0950762937267245,0.178715853677966
153,0.100150526955717,0.178540348336936
154,0.266512106455004,0.39170665949255
155,0.048034085729757,0.220273963379707
156,0.62363392898912,0.45305891810727
157,0.0726208187137733,0.274781325222198
158,0.176088320728598,0.331145533961816
159,0.135738344314659,0.292900786028773
160,0.185585273405716,0.168006091189821
161,0.153605409304083,0.149899039703658
162,0.111485680670255,0.0982995417246274
