"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-11130.4615335694,82.4541783351004,180.230430467484,10.6375264560685,22260.9230671389,164.908356670201
"model1",-0.0312537957093788,3.28045857131679,-11130.4927873652,82.3224337653583,184.877343349808,10.5662284500348,22260.9855747304,164.644867530717
