"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",11026.2951383396,6070.296873139
"Shore (all-gear)",42541.3657046141,12733.174648813
"Private Boat (ring-net)",11678.1176470588,6171.26722689076
"Private Boat (all-gear)",237716.896551724,63864.3084140434
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",303245.48663594,100846.166909263
