"event_date","L_prior_mu","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-09-16,5.60049161553405,5.60256520603703,3.68834984538917,8.44459071709062
2024-09-17,5.60226255475652,5.56006054918858,3.68340600809243,8.49177298236676
2024-09-18,5.60401108350319,5.63183474480013,3.78666652943084,8.40114282897356
2024-09-19,5.60573718044314,5.61328121806279,3.67368560247572,8.65269482325298
2024-09-20,5.35926231926179,5.32756007755038,3.50162145707937,8.04254389917239
2024-09-21,5.36086908311693,5.34526050678966,3.51053652145609,8.29442125000738
2024-09-22,5.36245434835493,5.33100103977349,3.44139746754739,8.13057685283592
2024-09-23,5.61241683294997,5.62715253178431,3.73315205318907,8.5545666412669
2024-09-24,5.6140304603313,5.58386472124688,3.74131055893711,8.43149772721863
2024-09-25,5.61562153358965,5.62937688273158,3.68459974393531,8.3963266916359
2024-09-26,5.61719003328775,5.59142032822338,3.68009028527095,8.40597671102595
2024-09-27,5.37005752693364,5.38819006454316,3.52974697399942,8.02996971960942
2024-09-28,5.37151340309025,5.36193446409714,3.47972946481122,8.19192262379578
2024-09-29,5.37294765059603,5.36773703106861,3.55002419202967,8.11203737033294
2024-09-30,5.6232379172657,5.62815598666976,3.79128195162261,8.19917289450169
2024-10-01,5.62469326714236,5.61343806826622,3.71034779302304,8.45682019943488
2024-10-02,5.6261259325638,5.59326430838072,3.69205480100466,8.47247781578988
2024-10-03,5.62753589600582,5.61850581852034,3.75785415640937,8.41102358137395
2024-10-04,5.37979385382233,5.37099344558844,3.54413424059798,8.10136676579789
2024-10-05,5.38109797036875,5.40333273042264,3.52025094972808,8.27633196130785
2024-10-06,5.38238034102889,5.40054604094506,3.49798318217301,8.34953881858208
2024-10-07,5.63294838911988,5.61718886477676,3.78244080029023,8.48480316233976
2024-10-08,5.63424458943083,5.65551780663137,3.78474889123954,8.48040457824703
2024-10-09,5.63551798839938,5.60440698996185,3.69163441177818,8.49678131750877
2024-10-10,5.6367685704319,5.64153712707936,3.74448770328325,8.55711950809815
2024-10-11,5.38846546591301,5.3850048168873,3.50487072858965,8.34503951955118
2024-10-12,5.38961704088385,5.37922605495056,3.53652850493314,8.13508869034444
2024-10-13,5.39074676564831,5.3679510261421,3.58657485198379,8.08144907024782
2024-10-14,5.64154242703439,5.63060791836466,3.75555650088802,8.37145838338283
2024-10-15,5.64267870019197,5.62921564644451,3.71421648408338,8.40315531138951
2024-10-16,5.64379206868183,5.64719375649934,3.71583954104454,8.51207720803959
2024-10-17,5.64488251885647,5.63651209412634,3.76553318612833,8.35285129452732
2024-10-18,5.39606716120999,5.38960339355958,3.53861605224242,8.23163531407475
2024-10-19,5.39706550336751,5.41112636832713,3.50950409984948,8.20158980007668
2024-10-20,5.39804190401819,5.39294672555296,3.48815461117637,8.23021887637216
2024-10-21,5.64901487323058,4.9382550211268,3.66878228394535,7.08695526859901
2024-10-22,5.64999053689791,5.64074185087127,3.7500921514419,8.46386796329017
2024-10-23,5.65094320623739,5.67240370505724,3.7785756788151,8.55926054812203
2024-10-24,5.65187286956136,5.62659926349593,3.81896381425967,8.38192747426961
2024-10-25,5.40259437493728,5.38246321184733,3.58482416891544,8.23742933366917
2024-10-26,5.40343888446289,5.40465376565065,3.54678849652977,8.16937659402115
2024-10-27,5.40426137429225,5.41341681797607,3.59128739697872,8.21853387486735
2024-10-28,5.65536123878808,5.64038754887431,3.77156993440428,8.53479958576545
2024-10-29,5.65617570656189,5.679986182224,3.79133082795708,8.4675576851289
2024-10-30,5.65696710410271,5.66300480631308,3.85306722497223,8.36257038940349
2024-10-31,5.65773542169443,5.64017645381737,3.7735211764814,8.46872422014466
2024-11-01,5.40804318410689,5.41235057732996,3.58095942878655,8.15584811226224
2024-11-02,5.40873335320175,5.42293902534928,3.64930271704113,8.14552583582761
2024-11-03,5.40940143760028,5.42172190832415,3.61085818153067,8.17054685078163
2024-11-04,5.6605777081388,5.68446049461595,3.76683701599182,8.57850198168015
2024-11-05,5.66123049013681,5.68493337067429,3.81622059611882,8.48892431536102
2024-11-06,5.66186013982777,5.66816997216418,3.78108145983613,8.56754529195448
2024-11-07,5.66246664947681,5.645554360331,3.74170375447388,8.45270979909707
2024-11-08,5.41241031144819,5.41732218047572,3.5056125696475,8.34339084726464
2024-11-09,5.41294572484202,5.32844782010539,3.86429568151751,7.77506465239987
2024-11-10,5.41345900179401,5.40512647639642,3.6198298186791,8.13949055889032
2024-11-11,5.66466114289003,5.66569923245224,3.75087661440719,8.44458596151094
2024-11-12,5.66515184624203,5.6421047103591,3.81068302203644,8.49505006811462
2024-11-13,5.66561936910619,5.68266384857777,3.81339300156886,8.48770303482537
2024-11-14,5.6660637057367,5.66808681136644,3.76366000212781,8.61819389647328
2024-11-15,5.41569312869294,5.41101206329705,3.54554974247807,8.27611164741808
2024-11-16,5.41607346406049,5.4172004444345,3.59920686379362,8.2703502439797
2024-11-17,5.4164316245471,5.42289871756064,3.5617264150481,8.20988677202042
2024-11-18,5.66760908497117,5.64215544964636,3.78043269640955,8.4619408624181
2024-11-19,5.66793741421302,5.70511069657937,3.74921535458009,8.65123225773655
2024-11-20,5.66824252872792,5.67593372543053,3.76250444685814,8.58196024218462
2024-11-21,5.66852442476481,5.6889355139452,3.79358896809971,8.60634198108515
2024-11-22,5.4178896592114,5.40179127366389,3.54122173123275,8.23875915180929
2024-11-23,5.41811468749581,5.46942834401614,3.53027730592852,8.29738917863886
2024-11-24,5.41831751580519,5.4047407710766,3.55637029129604,8.15798384313323
2024-11-25,5.66941975909964,5.67514064511462,3.74873572146038,8.56373284310905
2024-11-26,5.66958551646982,5.67797443761601,3.74340338932223,8.53650653495932
2024-11-27,5.6697280388499,5.69631657983151,3.74146090328372,8.50311817096056
2024-11-28,5.66984732448744,5.66403136774267,3.74019176434059,8.61285402065995
2024-11-29,5.41899857999583,5.44178859612703,3.55379717002291,8.32791370062292
2024-11-30,5.41906816563853,5.42529736564705,3.51238900811388,8.41916971221675
