"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39623,31661,23,79.9
"shore all-gear",289,145,17099,8310,50,48.6
"shore pot-closure",76,51,6095,1914,67,31.4
