"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39272,31374,23,79.9
"shore all-gear",289,145,19021,9992,50,52.5
"shore pot-closure",76,51,5859,1862,67,31.8
