"gear_type","catch","has_BSS","proportion"
"All",58815,TRUE,0.821
"Pot",11986,FALSE,0.167
"Ring Net",770,FALSE,0.011
"Snare",54,FALSE,0.001
"Trap",54,FALSE,0.001
