"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",437.929411764706,877.485561497326
"Private Boat (All gear)",8914.38362068966,27350.8904301621
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",32224.9135155462,61747.3154477936
