"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1574,1202,2194,1150,883,1607
"2024-10",3060,2494,3842,2168,1775,2719
"2024-11",2461,1879,3242,1844,1436,2391
"2024-12",9368,8629,10402,2193,1732,2804
"2025-01",6983,6527,7628,2202,1733,2838
"2025-02",1632,1359,2026,1431,1085,1912
"2025-03",1375,989,2023,1612,1342,1943
"2025-04",3052,2253,4410,3056,2502,3726
"2025-05",6648,4635,10559,3600,2988,4400
"2025-06",3627,2394,5772,2747,2112,3560
"2025-07",10536,6523,19111,6918,5472,9169
"2025-08",15351,10246,24895,7665,6215,9679
"2025-09",4723,2877,8470,3069,2350,4156
