"fit","R_G_median","R_G_lo95","R_G_hi95","R_G_status","R_G_interpretation","R_G_boat_median","R_G_boat_lo95","R_G_boat_hi95","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept",1.324,1.263,1.387,"estimated (gear counts)","1.32 gear per crabber (1.26-1.39) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"shore_all_gear_Dungeness_Kept",1.279,1.244,1.316,"estimated (gear counts)","1.28 gear per crabber (1.24-1.32) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"private_boat_all_gear_Dungeness_Kept",1.276,0.707,2.31,"prior-only (no gear counts in boat fits)","1.28 gear per crabber (0.71-2.31) [prior-only (no gear counts in boat fits)]",3.546,3.242,3.88,"3.55 gear per boat group (3.24-3.88)"
