"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.223), 0.300)",1.2795827739976,0.392676171162512,1.2849519439938,0.394194273005248,1.22955881052692,0.68018309295135,2.20461823907207,-0.004,TRUE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.834509603719755,0.0831480211456709,0.845154354394598,0.644984185553253,0.962611479545253,0.814,FALSE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.0773266687401745,0.448332832419453,0.0978773884436229,-0.729500009425068,0.82973646968859,-0.003,TRUE
"B1","normal(0, 1.0)",0,1,0.289467428335222,0.153543800991598,0.287420627540365,-0.00743240978882487,0.590539693469853,0.846,FALSE
"B2","normal(0, 1.0)",0,1,0.690845110195659,0.371919665520704,0.684815516248044,-0.00885356257369559,1.43654404711004,0.628,FALSE
"mu_mu_E[1]","normal(2.303, 2.0)",2.30258509299405,2,2.58950583885271,1.1597328218136,2.61100847186271,0.156166799851786,4.89367858642637,0.42,TRUE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.759599684403455,1.13719520200203,1.04288687807526,-2.26288729477719,2.5278788440827,0.431,TRUE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.808247664730761,0.165213064757258,0.796428193195866,0.521886875623917,1.17240242968653,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.205543063136755,0.137948986438363,0.186558298887127,0.00846411256719145,0.517880330743905,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.785596714227169,0.0634226509286803,0.783195378063304,0.670381119169664,0.916806884880438,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,0.80373019713023,0.0663594017546177,0.801577008640462,0.67852923757313,0.941198268572312,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.18788138253836,1.57856358630892,0.725205901994242,0.028614478564082,5.31884822691843,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.37823525191034,1.98337633006141,0.776627201687419,0.0372434866989772,6.78684882099842,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.0535298673383234,0.165072183715924,-0.0563032452494966,-0.372331818169494,0.283151176371217,0.835,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,3.55227601197292,0.164378278046191,3.55010566900945,3.2356975044649,3.87993173805866,0.932,FALSE
