"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_IE",0.489828119184162,0.377781834535312,-0.479273888075917,0.0118624303404426,0.00666055128787855
"sigma_mu_C",0.723330494186332,0.822668219049039,0.319322706278217,0.0118624303404426,0.00666055128787855
"sigma_eps_E",0.164631340399379,0.191058481463286,0.190178790005757,0.0118624303404426,0.00666055128787855
"phi_C",0.23893988403373,0.303181335840291,0.173312073558933,0.0118624303404426,0.00666055128787855
"sigma_mu_E",0.709251243071917,0.593912320379768,0.114003421773268,0.0118624303404426,0.00666055128787855
"R_G_boat",4.00274160564317,3.79540169951881,-0.0374529564998871,0.0118624303404426,0.00666055128787855
"sigma_r_E",0.54488277011459,0.54353770480254,-0.0291359629913745,0.0118624303404426,0.00666055128787855
"phi_E",0.210573940782476,0.214646609440314,0.0212525203567213,0.0118624303404426,0.00666055128787855
"R_G",1.32011541055939,1.31885627456938,0.0164263983295507,0.0118624303404426,0.00666055128787855
"r_E",3.36816880880424,3.3848598249416,-0.0151558188711601,0.0118624303404426,0.00666055128787855
"sigma_eps_C",0.0841618654673786,0.079376218101982,-0.0139603171108747,0.0118624303404426,0.00666055128787855
"r_C",1.67280175364721,1.68342659223848,-0.0109956370345249,0.0118624303404426,0.00666055128787855
"sigma_r_C",0.773174927789076,0.770731371590957,0.0060420980279849,0.0118624303404426,0.00666055128787855
