"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1258.42150906751,16.3174533598152,118.299535850033,50,-1140.12
"catch",2742,-5127.27920077929,63.8215379316514,62.5006327980955,0,-5064.78
