"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.61x (1.17-2.22)","1.66x (0.62-5.17)","0.82x (0.69-0.97)",-0.201,-0.367,-0.029
"shore_all_gear_Dungeness_Kept","1.66x (1.33-2.10)","2.82x (1.54-5.11)","0.72x (0.61-0.87)",-0.323,-0.495,-0.144
"private_boat_all_gear_Dungeness_Kept","1.57x (1.23-2.00)","3.05x (1.74-5.69)","0.99x (0.72-1.34)",-0.015,-0.325,0.295
