"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-12-01",1.10785233772179,0.774520887124792,1.63164262826569,1.24462365591398,31
2,"2024-12-02",1.53426449772212,0.88910665713991,2.47481698660548,0,1
3,"2024-12-03",1.61089660659198,1.05269269292215,2.44577566189496,1.68181818181818,11
4,"2024-12-04",1.62596421680065,1.10377670047629,2.42600564819937,1.91666666666667,13
5,"2024-12-05",1.49261008291392,0.917266504247041,2.29441753018791,0.933333333333333,10
6,"2024-12-06",1.21184260421174,0.774882089455244,1.92722035614254,1.72727272727273,11
7,"2024-12-07",1.09282961288434,0.653405304785051,1.88857330917512,1,4
8,"2024-12-08",1.02416837202786,0.552786374979237,1.83646857596506,NA,0
9,"2024-12-09",1.37138231770251,0.700191262272718,2.37481794118527,NA,0
10,"2024-12-10",1.28441266472837,0.75357185515546,2.13364347004295,0.777777777777778,9
11,"2024-12-11",1.50097026853576,0.924751103056762,2.35070039095983,1.54166666666667,6
12,"2024-12-12",1.68872798087381,1.13191623950668,2.50973573400868,1.87797619047619,14
13,"2024-12-13",1.35696047411712,0.906466951117725,2.06304991256007,1.65151515151515,11
14,"2024-12-14",1.36136262825967,0.899236634202882,2.20342581335429,2.375,6
15,"2024-12-15",1.11323367378939,0.625322136830059,1.91640317586929,0.333333333333333,6
16,"2024-12-16",1.56615558408502,0.796866303463104,2.89245696392981,NA,0
17,"2024-12-17",1.62220786476156,0.84501316377651,3.00565250155271,NA,0
18,"2024-12-18",1.73904476579321,1.04471735051532,2.93400137562222,2.44444444444444,6
19,"2024-12-19",1.60286139374101,0.90460554005344,2.85910566598093,NA,0
20,"2024-12-20",1.11847094540471,0.695703043051511,1.82675096722897,1.39583333333333,8
21,"2024-12-21",0.959508634886719,0.587111811269613,1.60196574063044,0.958333333333333,6
22,"2024-12-22",0.838746973145824,0.479444943520125,1.39259602699923,0.366666666666667,5
23,"2024-12-23",1.12799186298218,0.674353311205332,1.81020949130574,0.925925925925926,9
24,"2024-12-24",1.15380010504687,0.680129135974002,1.91107549134448,0.997222222222222,6
25,"2024-12-25",1.21054618649387,0.649196947948332,2.10162055099904,NA,0
26,"2024-12-26",1.26451160974444,0.762692284971778,2.05989111477501,1.15333333333333,5
27,"2024-12-27",0.974234879883776,0.659539054599814,1.44785839749542,1.10526315789474,19
28,"2024-12-28",0.893282690318437,0.562219852768283,1.41718174843793,0.666666666666667,12
29,"2024-12-29",0.983093792799897,0.544518903689173,1.70117402453453,NA,0
30,"2024-12-30",1.4955163855379,0.820545100261198,2.632437815462,NA,0
31,"2024-12-31",0.990300655653249,0.72915723141572,1.39578599489344,1.11118421052632,38
32,"2025-01-01",0.860521366891688,0.588396773744788,1.30404168463745,1.07333333333333,15
33,"2025-01-02",1.11269293139084,0.682332800270228,1.7861786164367,0.595,10
34,"2025-01-03",0.77478620066276,0.506334552236968,1.23484171436423,1.075,10
35,"2025-01-04",0.649188490707849,0.378160542807229,1.07636591357287,0.479166666666667,8
36,"2025-01-05",0.599081819104234,0.313814637342959,1.09970674527451,NA,0
37,"2025-01-06",0.745548218401836,0.380496721252119,1.40507956633203,NA,0
38,"2025-01-07",0.670747649244636,0.353783586862991,1.20477130526601,0.0625,4
39,"2025-01-08",0.696592724900116,0.404916155145006,1.20454182941301,0.65,4
40,"2025-01-09",0.729700763889821,0.45734477325235,1.22572268811088,1.0625,4
